generation time avg_rew min_rew max_rew std_rew dist_std mean_run_time max_run_time avg_feef min_feef max_feef std_feef 
1 186 -44.87 -114.17 42.38 37.59 0.1 979.81 1000.0 -107373200.0 -367477950.0 -8856252.0 123480840.0 
2 371 -58.8 -99.06 -18.84 20.46 0.09932 971.01 1000.0 -53091920.0 -153383410.0 -20006486.0 45293900.0 
3 553 -77.9 -131.8 -38.16 20.27 0.09869 924.56 1000.0 -113800720.0 -317306240.0 -25348064.0 76997416.0 
4 742 -59.54 -83.47 -15.61 17.5 0.09809 980.82 1000.0 -52644710.0 -200032160.0 -10920720.0 52352880.0 
5 934 -71.16 -102.35 -34.53 15.7 0.09752 975.89 1000.0 -124956240.0 -357184900.0 -20697808.0 104713480.0 
1 189 -47.52 -81.92 -21.03 19.39 0.1 1000.0 1000.0 -9962144.0 -36333930.0 -832397.0 8435982.0 
2 378 -25.61 -71.2 92.89 35.14 0.09932 1000.0 1000.0 -40559910.0 -125471720.0 -3143666.0 34294600.0 
3 571 -31.12 -60.83 38.97 23.46 0.09869 1000.0 1000.0 -51721010.0 -104055150.0 -10327345.0 28533450.0 
4 761 -34.87 -58.01 -15.24 12.18 0.0981 1000.0 1000.0 -78430770.0 -136272320.0 -19268732.0 30963464.0 
5 952 -41.47 -67.4 -21.39 14.23 0.09753 1000.0 1000.0 -126658984.0 -227466110.0 -31276722.0 52382920.0 
1 189 -66.36 -92.65 -5.14 29.61 0.09699 1000.0 1000.0 -249481420.0 -1144792400.0 -2438823.0 275739700.0 
2 385 -69.88 -93.3 -13.03 27.26 0.09646 1000.0 1000.0 -293131360.0 -1813752300.0 -326893.0 444301280.0 
3 580 -69.85 -85.69 -0.41 26.29 0.09595 1000.0 1000.0 -189754980.0 -464845570.0 -66849908.0 140732450.0 
4 775 -31.7 -84.49 11.54 27.37 0.09546 1000.0 1000.0 -475027620.0 -1073217150.0 -103004590.0 249087360.0 
5 969 -68.44 -92.42 -17.94 26.71 0.09498 1000.0 1000.0 -2547059700.0 -25483696000.0 -98516490.0 6141686300.0 
1 236 -53.6 -93.13 23.9 36.12 0.09451 1000.0 1000.0 -996239.7 -15542135.0 1216207.5 3876498.2 
2 430 -80.48 -92.79 -62.97 6.71 0.09406 991.4 1000.0 -3233718.0 -8780290.0 51461.0 2094065.1 
3 627 -77.93 -84.66 -31.09 12.52 0.09362 986.9 1000.0 -4074304.2 -10454409.0 -1355099.2 2187790.0 
4 817 -82.53 -85.2 -76.04 1.9 0.09319 1000.0 1000.0 -2628767.5 -4613720.0 -974977.0 922980.3 
5 1010 -71.79 -84.29 -19.75 18.73 0.09278 1000.0 1000.0 -5469328.0 -17659172.0 37954.0 4612256.5 
1 189 -67.16 -85.85 -10.5 20.1 0.09238 1000.0 1000.0 -7685750.0 -19861352.0 122883.5 6360213.5 
2 375 -71.97 -86.13 -13.68 17.33 0.09199 1000.0 1000.0 -11158776.0 -25431228.0 -2552813.2 6969463.0 
3 562 -71.94 -89.72 -10.3 20.22 0.09162 1000.0 1000.0 -6563656.5 -17910986.0 -309322.0 4718175.5 
4 748 -69.98 -84.27 -17.08 16.87 0.09126 1000.0 1000.0 -8012183.0 -28878740.0 -327328.0 7135287.5 
5 976 -73.62 -86.12 -42.3 12.41 0.09092 1000.0 1000.0 -8688568.0 -25327852.0 -220076.0 7779494.5 
1 186 -69.56 -83.84 -44.26 11.95 0.09058 1000.0 1000.0 -8339311.5 -19072626.0 370754.0 7063850.0 
2 371 -64.18 -89.2 -25.33 20.59 0.09025 1000.0 1000.0 -8886606.0 -19590312.0 724413.0 6309647.5 
3 561 -71.5 -85.23 -36.31 12.97 0.08992 997.71 1000.0 -10429307.0 -34998430.0 -736036.5 8273832.5 
4 750 -68.04 -84.3 -41.29 14.85 0.08961 1000.0 1000.0 -8051068.0 -16796216.0 -1054945.5 5468477.0 
5 1069 -74.66 -86.5 -30.37 14.12 0.0893 1000.0 1000.0 -9556372.0 -32700130.0 -519609.0 8356671.0 
1 187 -72.96 -83.98 -33.82 13.98 0.089 1000.0 1000.0 -7303078.5 -14624542.0 -1272608.0 4780284.5 
2 374 -71.66 -85.09 -4.5 19.96 0.08871 1000.0 1000.0 -5515197.5 -14550963.0 -960441.5 4221883.5 
3 563 -70.69 -84.71 -43.74 11.08 0.08841 1000.0 1000.0 -8390826.0 -20947420.0 -1204650.0 5804972.0 
4 751 -73.04 -84.03 -44.34 11.78 0.08813 1000.0 1000.0 -8372130.0 -19905476.0 -1713765.0 4824522.5 
5 939 -69.77 -84.26 -39.41 14.47 0.08785 990.23 1000.0 -9790482.0 -34248788.0 -2738535.8 8080564.5 
